key-bin-checksum,tag-serial-number,start-timestamp,longitude,latitude,height-above-ellipsoid,type-of-fix,status,used-time-to-get-fix,timestamp-of-fix,battery-voltage,fix-battery-voltage,temperature,speed-over-ground,heading-degree,speed-accuracy-estimate,horizontal-accuracy-estimate,dop,satellite-count,barometric-pressure,quat-w-raw,quat-x-raw,quat-y-raw,quat-z-raw,magnetic-field-x-raw,magnetic-field-y-raw,magnetic-field-z-raw,data-decoding-software
2451465981,9229,2021-05-10 05:30:01.000,8.9591637,47.4929698,532.4,3,A,11,2021-05-10 05:30:13.000,3953,3930,4,0.63,144.83,1.06,9.47,3.0,5,0.00,,,,,,,,13
2509089096,9229,2021-05-23 08:46:14.000,8.9364657,47.4847719,657.0,3,A,146,2021-05-23 08:48:41.000,3985,3939,-6,0.38,0.00,1.11,20.22,2.6,6,0.00,,,,,,,,13
0033613869,9229,2021-05-23 09:00:01.000,8.9363553,47.4848065,662.8,3,A,81,2021-05-23 09:01:23.000,3983,3944,-2,0.32,0.00,2.71,35.07,2.7,5,0.00,,,,,,,,13
4089637158,9229,2021-05-23 09:15:01.000,8.9364035,47.4847917,655.3,3,A,23,2021-05-23 09:15:25.000,3980,3953,1,0.66,212.34,3.05,39.17,4.5,5,0.00,,,,,,,,13
4283476352,9229,2021-05-23 09:30:00.000,,,,0,D,150,,3983,3948,1,,,,,,,0.00,,,,,,,,13
0810952711,9229,2021-05-23 09:45:00.000,,,,0,D,150,,3978,3936,2,,,,,,,0.00,,,,,,,,13
1943646076,9229,2021-05-23 10:00:00.000,,,,0,D,150,,3974,3935,3,,,,,,,0.00,,,,,,,,13
3275504785,9229,2021-05-23 10:15:00.000,,,,0,D,150,,3973,3934,4,,,,,,,0.00,,,,,,,,13
0434556362,9229,2021-05-23 10:30:00.000,,,,0,D,150,,3968,3936,5,,,,,,,0.00,,,,,,,,13
1222593347,9229,2021-05-23 10:45:00.000,,,,0,D,151,,3963,3928,6,,,,,,,0.00,,,,,,,,13
2448217364,9229,2021-05-23 11:00:00.000,,,,0,D,150,,3963,3927,7,,,,,,,0.00,,,,,,,,13
3616890285,9229,2021-05-23 11:15:00.000,,,,0,D,150,,3958,3925,7,,,,,,,0.00,,,,,,,,13
0328786380,9229,2021-05-23 11:30:00.000,,,,0,D,150,,3956,3922,7,,,,,,,0.00,,,,,,,,13
1661431529,9229,2021-05-23 11:45:00.000,,,,0,D,150,,3953,3925,8,,,,,,,0.00,,,,,,,,13
2595418318,9229,2021-05-23 12:00:00.000,,,,0,D,151,,3953,3916,8,,,,,,,0.00,,,,,,,,13
3513283013,9229,2021-05-23 12:15:00.000,,,,0,D,150,,3946,3916,8,,,,,,,0.00,,,,,,,,13
0244708864,9229,2021-05-23 12:30:00.000,,,,0,D,150,,3944,3911,8,,,,,,,0.00,,,,,,,,13
1216248089,9229,2021-05-23 12:45:00.000,,,,0,D,150,,3941,3906,8,,,,,,,0.00,,,,,,,,13
2278293098,9229,2021-05-23 13:00:00.000,,,,0,D,150,,3939,3903,8,,,,,,,0.00,,,,,,,,13
3067902963,9229,2021-05-23 13:15:00.000,,,,0,D,151,,3934,3896,8,,,,,,,0.00,,,,,,,,13
4166582885,9229,2021-05-23 13:30:00.000,,,,0,D,150,,3930,3901,8,,,,,,,0.00,,,,,,,,13
0899122869,9229,2021-05-23 13:45:00.000,,,,0,D,150,,3930,3896,8,,,,,,,0.00,,,,,,,,13
1761609327,9229,2021-05-23 14:00:00.000,,,,0,D,150,,3925,3889,8,,,,,,,0.00,,,,,,,,13
2895220215,9229,2021-05-23 14:15:00.000,,,,0,D,150,,3923,3891,8,,,,,,,0.00,,,,,,,,13
3685878657,9229,2021-05-23 14:30:00.000,,,,0,D,151,,3920,3879,8,,,,,,,0.00,,,,,,,,13
0274762609,9229,2021-05-23 14:45:00.000,,,,0,D,150,,3916,3876,8,,,,,,,0.00,,,,,,,,13
1515525683,9229,2021-05-23 15:00:00.000,,,,0,D,150,,3916,3876,8,,,,,,,0.00,,,,,,,,13
2377815539,9229,2021-05-23 15:15:00.000,,,,0,D,150,,3908,3876,8,,,,,,,0.00,,,,,,,,13
3205567649,9229,2021-05-23 15:30:00.000,,,,0,D,150,,3906,3867,8,,,,,,,0.00,,,,,,,,13
4158035617,9229,2021-05-23 15:45:00.000,,,,0,D,151,,3901,3862,8,,,,,,,0.00,,,,,,,,13
0763107213,9229,2021-05-23 16:00:01.000,,,,0,D,150,,3896,3858,8,,,,,,,0.00,,,,,,,,13
1574671679,9229,2021-05-23 16:15:01.000,,,,0,D,150,,3894,3853,8,,,,,,,0.00,,,,,,,,13
2706709689,9229,2021-05-23 16:30:01.000,,,,0,D,150,,3889,3858,8,,,,,,,0.00,,,,,,,,13
3497564739,9229,2021-05-23 16:45:01.000,,,,0,D,150,,3884,3848,8,,,,,,,0.00,,,,,,,,13
0172105031,9229,2021-05-23 17:00:01.000,,,,0,D,151,,3879,3841,8,,,,,,,0.00,,,,,,,,13
0893098165,9229,2021-05-23 17:15:00.000,,,,0,D,150,,3876,3839,7,,,,,,,0.00,,,,,,,,13
1773934729,9229,2021-05-23 17:30:00.000,,,,0,D,150,,3869,3839,7,,,,,,,0.00,,,,,,,,13
2673711463,9229,2021-05-23 17:45:00.000,,,,0,D,150,,3867,3831,7,,,,,,,0.00,,,,,,,,13
3536591151,9229,2021-05-23 18:00:00.000,,,,0,D,150,,3862,3829,7,,,,,,,0.00,,,,,,,,13
0267165025,9229,2021-05-23 18:15:00.000,,,,0,D,151,,3858,3824,7,,,,,,,0.00,,,,,,,,13
1188241017,9229,2021-05-23 18:30:01.000,,,,0,D,150,,3858,3822,6,,,,,,,0.00,,,,,,,,13
2196152995,9229,2021-05-23 18:45:01.000,,,,0,D,150,,3853,3824,6,,,,,,,0.00,,,,,,,,13
2807241407,9229,2021-05-23 19:00:01.000,,,,0,D,150,,3848,3812,5,,,,,,,0.00,,,,,,,,13
4156532943,9229,2021-05-23 19:15:00.000,,,,0,D,150,,3848,3819,6,,,,,,,0.00,,,,,,,,13
0815278813,9229,2021-05-23 19:30:00.000,,,,0,D,151,,3845,3811,5,,,,,,,0.00,,,,,,,,13
1806806539,9229,2021-05-23 19:45:00.000,,,,0,D,150,,3841,3809,5,,,,,,,0.00,,,,,,,,13
2527209855,9229,2021-05-23 20:00:00.000,,,,0,D,150,,3840,3802,5,,,,,,,0.00,,,,,,,,13
3626479605,9229,2021-05-23 20:15:00.000,,,,0,D,150,,3839,3802,5,,,,,,,0.00,,,,,,,,13
0465778565,9229,2021-05-23 20:30:00.000,,,,0,D,150,,3839,3802,5,,,,,,,0.00,,,,,,,,13
1508031671,9229,2021-05-23 20:45:00.000,,,,0,D,151,,3834,3800,4,,,,,,,0.00,,,,,,,,13
2606514993,9229,2021-05-23 21:00:00.000,,,,0,D,150,,3831,3800,5,,,,,,,0.00,,,,,,,,13
3490497305,9229,2021-05-23 21:15:00.000,,,,0,D,150,,3829,3790,4,,,,,,,0.00,,,,,,,,13
0474238737,9229,2021-05-23 21:30:00.000,,,,0,D,150,,3829,3790,4,,,,,,,0.00,,,,,,,,13
1500107591,9229,2021-05-23 21:45:00.000,,,,0,D,150,,3824,3790,4,,,,,,,0.00,,,,,,,,13
2706529547,9229,2021-05-23 22:00:00.000,,,,0,D,151,,3824,3789,4,,,,,,,0.00,,,,,,,,13
3770671729,9229,2021-05-23 22:15:00.000,,,,0,D,150,,3824,3789,4,,,,,,,0.00,,,,,,,,13
0771190377,9229,2021-05-23 22:30:00.000,,,,0,D,150,,3819,3792,4,,,,,,,0.00,,,,,,,,13
1706487899,9229,2021-05-23 22:45:00.000,,,,0,D,150,,3819,3784,5,,,,,,,0.00,,,,,,,,13
3146743999,9229,2021-05-23 23:00:00.000,,,,0,D,150,,3819,3786,5,,,,,,,0.00,,,,,,,,13
4207674886,9229,2021-05-23 23:15:00.000,,,,0,D,151,,3815,3781,6,,,,,,,0.00,,,,,,,,13
1083543219,9229,2021-05-23 23:30:00.000,,,,0,D,150,,3814,3782,6,,,,,,,0.00,,,,,,,,13
2290882678,9229,2021-05-23 23:45:00.000,,,,0,D,150,,3814,3781,6,,,,,,,0.00,,,,,,,,13
3551241053,9229,2021-05-24 00:00:00.000,,,,0,D,150,,3812,3781,6,,,,,,,0.00,,,,,,,,13
0427633681,9229,2021-05-24 00:15:00.000,,,,0,D,150,,3809,3784,6,,,,,,,0.00,,,,,,,,13
1505407575,9229,2021-05-24 00:30:00.000,,,,0,D,151,,3809,3775,6,,,,,,,0.00,,,,,,,,13
2696231719,9229,2021-05-24 00:45:00.000,,,,0,D,150,,3809,3776,6,,,,,,,0.00,,,,,,,,13
3704143697,9229,2021-05-24 01:00:00.000,,,,0,D,150,,3806,3773,6,,,,,,,0.00,,,,,,,,13
0599279641,9229,2021-05-24 01:15:00.000,,,,0,D,150,,3804,3773,6,,,,,,,0.00,,,,,,,,13
1662242163,9229,2021-05-24 01:30:00.000,,,,0,D,150,,3802,3769,6,,,,,,,0.00,,,,,,,,13
2866501409,9229,2021-05-24 01:45:00.000,,,,0,D,151,,3802,3767,6,,,,,,,0.00,,,,,,,,13
3966360989,9229,2021-05-24 02:00:00.000,,,,0,D,150,,3801,3768,6,,,,,,,0.00,,,,,,,,13
1021406154,9229,2021-05-24 02:15:00.000,,,,0,D,150,,3800,3768,6,,,,,,,0.00,,,,,,,,13
2084368676,9229,2021-05-24 02:30:00.000,,,,0,D,150,,3800,3767,6,,,,,,,0.00,,,,,,,,13
3346234396,9229,2021-05-24 02:45:00.000,,,,0,D,150,,3800,3767,6,,,,,,,0.00,,,,,,,,13
0021757726,9229,2021-05-24 03:00:00.000,,,,0,D,151,,3795,3762,6,,,,,,,0.00,,,,,,,,13
1193445334,9229,2021-05-24 03:15:00.000,,,,0,D,150,,3795,3762,6,,,,,,,0.00,,,,,,,,13
2347700093,9229,2021-05-24 03:30:00.000,,,,0,D,150,,3795,3762,6,,,,,,,0.00,,,,,,,,13
3661536388,9229,2021-05-24 03:45:00.000,,,,0,D,150,,3792,3762,6,,,,,,,0.00,,,,,,,,13
0265952607,9229,2021-05-24 04:00:00.000,,,,0,D,150,,3790,3757,6,,,,,,,0.00,,,,,,,,13
1670753454,9229,2021-05-24 04:15:00.000,,,,0,D,151,,3790,3758,6,,,,,,,0.00,,,,,,,,13
2807051337,9229,2021-05-24 04:30:01.000,,,,0,D,150,,3790,3754,7,,,,,,,0.00,,,,,,,,13
3906190024,9229,2021-05-24 04:45:01.000,,,,0,D,150,,3789,3754,6,,,,,,,0.00,,,,,,,,13
0800670591,9229,2021-05-24 05:00:01.000,,,,0,D,150,,3786,3754,6,,,,,,,0.00,,,,,,,,13
2043465310,9229,2021-05-24 05:15:01.000,,,,0,D,150,,3786,3753,6,,,,,,,0.00,,,,,,,,13
3178190313,9229,2021-05-24 05:30:01.000,,,,0,D,151,,3786,3750,6,,,,,,,0.00,,,,,,,,13
0017948028,9229,2021-05-24 05:45:00.000,,,,0,D,150,,3786,3752,6,,,,,,,0.00,,,,,,,,13
1009934505,9229,2021-05-24 06:00:00.000,,,,0,D,150,,3784,3747,6,,,,,,,0.00,,,,,,,,13
2216421996,9229,2021-05-24 06:15:00.000,,,,0,D,150,,3784,3747,6,,,,,,,0.00,,,,,,,,13
3459282243,9229,2021-05-24 06:30:00.000,,,,0,D,150,,3781,3747,6,,,,,,,0.00,,,,,,,,13
0388824850,9229,2021-05-24 06:45:00.000,,,,0,D,151,,3781,3743,6,,,,,,,0.00,,,,,,,,13
1596033236,9229,2021-05-24 07:00:00.000,,,,0,D,150,,3781,3747,7,,,,,,,0.00,,,,,,,,13
2839090103,9229,2021-05-24 07:15:00.000,,,,0,D,150,,3781,3745,7,,,,,,,0.00,,,,,,,,13
3936066070,9229,2021-05-24 07:30:00.000,,,,0,D,150,,3776,3743,7,,,,,,,0.00,,,,,,,,13
0868819975,9229,2021-05-24 07:45:00.000,,,,0,D,150,,3779,3742,7,,,,,,,0.00,,,,,,,,13
1839507214,9229,2021-05-24 08:00:00.000,,,,0,D,151,,3776,3740,6,,,,,,,0.00,,,,,,,,13
